SerialNumber,Capacity
MXQ0500TBH,763.065
MXQ0500TBH,763.065
MXQ0500TBG,763.065
MXQ0500TBG,763.065
MXQ81904KL,3814.4
2M200201FH,41206.32
2M200201FH,3052.328
2M200201FH,457.83
2M200201FD,41206.32
2M200201FD,3052.328
2M200201FD,457.83
2M200201FB,41206.32
2M200201FB,3052.328
2M200201FB,457.83
2M200201F9,41206.32
2M200201F9,3052.328
2M200201F9,457.83
2M200201FM,41206.32
2M200201FM,3052.328
2M200201FM,457.83
2M200201FP,41206.32
2M200201FP,3052.328
2M200201FP,457.83
2M200201FN,41206.32
2M200201FN,3052.328
2M200201FN,457.83
2M200201F7,41206.32
2M200201F7,3052.328
2M200201F7,457.83
2M200201F2,41206.32
2M200201F2,3052.328
2M200201F2,457.83
2M200201F4,41206.32
2M200201F4,3052.328
2M200201F4,457.83
2M200201F6,41206.32
2M200201F6,3052.328
2M200201F6,457.83
2M200201F0,41206.32
2M200201F0,3052.328
2M200201F0,457.83
2M200201F1,41206.32
2M200201F1,3052.328
2M200201F1,457.83
2M200201FL,41206.32
2M200201FL,3052.328
2M200201FL,457.83
2M200201FF,41206.32
2M200201FF,3052.328
2M200201FF,457.83
2M200201F5,41206.32
2M200201F5,3052.328
2M200201F5,457.83
2M200201FC,41206.32
2M200201FC,3052.328
2M200201FC,457.83
2M200201FJ,41206.32
2M200201FJ,3052.328
2M200201FJ,457.83
2M200201FQ,41206.32
2M200201FQ,3052.328
2M200201FQ,457.83
2M200201DY,41206.32
2M200201DY,3052.328
2M200201DY,457.83
2M200201FG,41206.32
2M200201FG,3052.328
2M200201FG,457.83
2M200201DZ,41206.32
2M200201DZ,3052.328
2M200201DZ,457.83
2M200201F3,41206.32
2M200201F3,3052.328
2M200201F3,457.83
2M200201F8,41206.32
2M200201F8,3052.328
2M200201F8,457.83
2M200201FK,41206.32
2M200201FK,3052.328
2M200201FK,457.83
2M200201DG,41206.32
2M200201DG,3052.328
2M200201DG,457.83
2M200201DJ,41206.32
2M200201DJ,3052.328
2M200201DJ,457.83
2M200201DD,41206.32
2M200201DD,3052.328
2M200201DD,457.83
2M200201D7,41206.32
2M200201D7,3052.328
2M200201D7,457.83
2M200201DN,41206.32
2M200201DN,3052.328
