Tenant,Device,Feature,vpn_if_name,vpn_if_description,vpn512_if_ipv4_address,vpn_if_dhcp_helper,vpn_if_ip_mtu,vpn_if_tcp_mss_adjust,vpn_if_mac_address,vpn_if_speed,vpn_if_duplex,vpn_if_shutdown,vpn_if_arp_timeout,vpn_if_autonegotiate,rewrite_shaping_rate,qos_map,vpn-qos_map,vpn_if_tracker,vpn_if_bandwidth_upstream,vpn_if_bandwidth_downstream,vpn_if_block_non_source_ip
tenant1,Factory_Default_ISR_4331_V01,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Factory_Default_ISR_4331_V01,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Factory_Default_ISR_4331_V01,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Factory_Default_ISR_4331_V01,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Factory_Default_ISR_4331_V01,cisco_logging,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Factory_Default_ISR_4331_V01,cisco_vpn_interface,GigabitEthernet0/0/0,N/A,102.1.1.1/24,N/A,1500,N/A,N/A,_empty,_empty,true,1200,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Factory_Default_ISR_4331_V01,cisco_vpn_interface,GigabitEthernet0/0/1,N/A,102.1.1.1/24,N/A,1500,N/A,N/A,_empty,_empty,false,1200,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Factory_Default_ISR_4331_V01,cisco_vpn_interface,GigabitEthernet0,N/A,20.1.1.1/24,N/A,1500,N/A,N/A,_empty,_empty,true,1200,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Factory_Default_ISR_4331_V01,cisco_vpn_interface,GigabitEthernet3,,10.1.19.15/24,,,,,,,false,,true,N/A,,N/A,,N/A,N/A,N/A
tenant1,Factory_Default_ISR_4331_V01,cisco_vpn_interface,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Default_SDBranch_C8000V_Template_V01,cisco_vpn_interface,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Default_SDBranch_C8000V_Template_V01,cisco_vpn_interface,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Default_SDBranch_C8000V_Template_V01,cisco_vpn_interface,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Default_SDBranch_C8000V_Template_V01,cisco_vpn_interface,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Default_SDBranch_C8000V_Template_V01,cisco_logging,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tenant1,Default_SDBranch_C8000V_Template_V01,cisco_vpn_interface,GigabitEthernet2,INET Interface,,N/A,1500,N/A,N/A,_empty,_empty,false,1200,true,N/A,N/A,N/A,N/A,N/A,N/A,false
tenant1,Default_SDBranch_C8000V_Template_V01,cisco_vpn_interface,GigabitEthernet4,Service or LAN Net Interface,,N/A,1500,N/A,N/A,_empty,_empty,false,1200,true,N/A,N/A,N/A,N/A,N/A,N/A,false
tenant1,Default_SDBranch_C8000V_Template_V01,cisco_vpn_interface,GigabitEthernet3,MGMT,,N/A,1500,N/A,N/A,_empty,_empty,false,1200,true,N/A,N/A,N/A,N/A,N/A,N/A,false
tenant1,Default_SDBranch_C8000V_Template_V01,cisco_vpn_interface,GigabitEthernet1,INT_MGMT,N/A,N/A,1500,N/A,N/A,_empty,_empty,false,1200,true,N/A,N/A,N/A,N/A,N/A,N/A,false
